sentence,snippets,target,sentiment_score,aspects,format,label
"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow",['Still short $LNG from $11.70 area...next stop could be down through $9.00.'],LNG,-0.543,['Stock/Price Action/Volatility/Short Selling'],post,2
$PLUG bear raid,['bear raid'],PLUG,-0.48,['Stock/Price Action/Bearish'],post,2
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,['Merger Came Together in Speedy 10 Weeks'],Kraft,0.214,['Corporate/M&A/M&A'],headline,0
Slump in Weir leads FTSE down from record high,['down from record high'],Weir,-0.827,['Market/Volatility/Volatility'],headline,2
"$AAPL bounces off support, it seems",['bounces off support'],AAPL,0.443,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
Johnson Matthey raises prospect of investor payout,['raises prospect of investor payout'],Johnson Matthey,0.281,['Corporate/Dividend Policy'],headline,0
$DCTH Near HOD,['Near HOD'],DCTH,0.366,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",['Legal & General Sell Egyptian Life Joint Venture To AXA'],CIB,0.148,['Corporate/Sales/Deal'],headline,0
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,['to pay first dividend since rescue'],Lloyds,0.522,['Corporate/Dividend Policy/Dividend'],headline,0
$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,"[""Lot's of sellers trying to get out.""]",FB,-0.215,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
$GNRC finding support at its 10-day line so far.,['finding support at its 10-day line so far.'],GNRC,0.256,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",['MACD crossover a half-a-hair away on the weekly'],AAPL,0.498,['Stock/Technical Analysis/MACD'],post,0
$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,['Hit With Lawsuit'],YNDX,-0.17,['Corporate/Legal/Lawsuit'],post,2
Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,['Sets Up for Breakout'],QCOM,0.396,['Stock/Price Action/Bullish'],post,0
"potential defect with third-row seat belts. Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/YVYDncdNdi",['potential defect with third-row seat belts. Tesla Motors recalls'],TSLA,-0.366,['Corporate/Risks/Product Recall'],post,2
Tesco sells half of stake in ecommerce site Lazada to Alibaba for ÃÂ£90m,['sells half of stake in ecommerce site Lazada to Alibaba for ÃÂ£90m'],Lazada,-0.038,['Stock/Price Action/Volatility/Sell-Off'],headline,1
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,['Facing Tough Competition'],AstraZeneca,-0.24,['Corporate/Risks'],headline,2
British American Tobacco drops and sues PwC over pollution scandal,['British American Tobacco drops'],PwC,-0.437,['Stock/Price Action/Bearish/Bearish Behaviour'],headline,2
UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,[' boosts respiratory unit with $575 mln Takeda deal'],Takeda,0.47,['Corporate/M&A/'],headline,0
Tesco breaks its downward slide by cutting sales decline in half,['by cutting sales decline'],Tesco,0.172,['Corporate/Sales'],headline,0
$CRUS Upgraded to a buy by Alpha Street Research,['Upgraded to a buy'],CRUS,0.715,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
$FB popping up to HOD,['popping up to HOD'],FB,0.446,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1,['SUPER overbought.'],OFIX,-0.497,['Stock/Price Action/Bearish'],post,2
what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO,['large players are selling'],INO,-0.507,['Stock/Price Action/Volatility/Selling Pressure'],post,2
"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",['technical alerts'],ADBE,0.208,['Stock/Technical Analysis'],post,0
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,['cut 945 jobs as part of 3-year restructuring plan'],Lloyds,-0.266,['Corporate/Strategy'],headline,2
