sentence,label,source
BYND JPMorgan reels in expectations on Beyond Meat,negative,Twitter
CCL RCL Nomura points to bookings weakness at Carnival and Royal Caribbean,negative,Twitter
CX Cemex cut at Credit Suisse JP Morgan on weak building outlook,negative,Twitter
ESS BTIG Research cuts to Neutral,negative,Twitter
FNKO Funko slides after Piper Jaffray PT cut,negative,Twitter
FTI TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank,negative,Twitter
GM GM loses a bull,negative,Twitter
GM Deutsche Bank cuts to Hold,negative,Twitter
GTT Cowen cuts to Market Perform,negative,Twitter
HNHAF HNHPD AAPL Trendforce cuts iPhone estimate after Foxconn delay,negative,Twitter
HOG Moodys warns on HarleyDavidson,negative,Twitter
HXL Citing aero ties Wells slashes PT on Hexcel,negative,Twitter
I Intelsat cut to Market Perform at Raymond James,negative,Twitter
KRG Compass Point cuts to Sell,negative,Twitter
LK Muddy Waters goes short Luckin Coffee,negative,Twitter
MANT ManTech downgraded ahead of difficult comps,negative,Twitter
MDCO Oppenheimer cuts to Perform,negative,Twitter
MPLX MPC MPLX cut at Credit Suisse on potential dilution from Marathon strategic review,negative,Twitter
MSGN Imperial downgrades MSG Networks amid sportsfree airwaves,negative,Twitter
MTLS Piper hits the Materialise sidelines,negative,Twitter
NCBS Hovde Group cuts to Market Perform,negative,Twitter
NFLX New Netflix bear steps out,negative,Twitter
SHOP Shopify loses a bull,negative,Twitter
STAY Nomura Instinet loses confidence in Extended Stay America,negative,Twitter
TWLO Twilio gets Streetlow target on virus risk,negative,Twitter
VCLT SPLB IGLB Guggenheims Minerd sees more gloom ahead in stocks,negative,Twitter
VIAC VIACA FOX MoffettNathanson expects NFL TV costs to skyrocket,negative,Twitter
VIAC Barrington Research cuts to Mkt Perform,negative,Twitter
XLNX Mizuho cuts XLNX target on nearterm headwinds,negative,Twitter
2U downgraded to sector weight from overweight at KeyBanc Capital,negative,Twitter
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook,negative,Twitter
AMC Networks price target cut to 35 from 39 at Imperial Capital,negative,Twitter
American Software downgraded to neutral from buy at B Riley FBR,negative,Twitter
Analysts question Silicon Motions margin outlook,negative,Twitter
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,negative,Twitter
Arch Coal stock price target cut to 97 from 100 at B Riley FBR,negative,Twitter
ATT downgraded by MoffettNathanson to sell on concern wireless cant carry the whole company,negative,Twitter
ATT shares sink after MoffettNathanson downgrade,negative,Twitter
ATT stock falls after MoffettNathanson downgrades saying dividend looks less compelling,negative,Twitter
Aurora Cannabis stock price target cut to C100 from C175 at Stifel Nicolaus,negative,Twitter
Autodesk downgraded to underweight from neutral at JPMorgan,negative,Twitter
BAML warns of profit pressure for Hormel,negative,Twitter
Barclays cools on Molson Coors,negative,Twitter
Becton Dickinson downgraded to outperform from strong buy at Raymond James,negative,Twitter
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,negative,Twitter
Berry Petroleum downgraded to market perform from outperform at BMO Capital,negative,Twitter
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,negative,Twitter
Bluebird bio downgraded to in line from outperform at Evercore ISI,negative,Twitter
Bluebird bio stock price target cut to 86 from 172 at Evercore ISI,negative,Twitter
Canada Goose downgraded to buy from strong buy at CFRA,negative,Twitter
Canada Goose stock price target cut to 50 from 65 at CFRA,negative,Twitter
Childrens Place downgraded as ecommerce puts margins at risk,negative,Twitter
Childrens Place price target cut to 80 from 105 at Monness Crespi Hardt,negative,Twitter
Cinedigm Corp Analysts Are Cutting Their Estimates Heres What You Need To Know,negative,Twitter
Clovis Oncology stock price target cut to 8 from 12 at Evercore ISI,negative,Twitter
Cumberland Pharmaceuticals stock price target cut to 900 from 1225 at B Riley FBR,negative,Twitter
Dell HPE targets trimmed on compute headwinds,negative,Twitter
Dish may not be key winner amid Intelsat woes analyst,negative,Twitter
Disney downgraded as analyst says parks attendance could take 2 years to normalize,negative,Twitter
Downgrades 1125 AEO COLM DGII EQT ESS EVRG GTT KRG MANT MDCO NFLX OMP PEG PRU SBT SITC TAP VIPS,negative,Twitter
Downgrades 47 MLND MSGN MTLS O OC OVV PEB PK PLYA QEP RHP RPAI SAIA SDC SHOP SKY SLG SM TWLO,negative,Twitter
Dropbox on watch after stinging Spruce Point report,negative,Twitter
Earnings Update electroCore Inc Just Reported And Analysts Are Trimming Their Forecasts,negative,Twitter
Evercore downgrades bluebird bio and Clovis in premarket analyst action,negative,Twitter
Fannie Mae Freddie Mac downgraded to sell as analyst cites unintended consequences of CARES Act,negative,Twitter
Forescout downgraded to neutral from buy at Monness Crespi Hardt,negative,Twitter
FormFactor cut on unsustainable revenue outlook,negative,Twitter
Funko downgraded to hold from buy at Stifel Nicolaus,negative,Twitter
Funko stock price target cut to 10 from 25 at Stifel Nicolaus,negative,Twitter
GM stock price target cut to 30 from 32 at Deutsche Bank,negative,Twitter
Grubhub gains a bear on margin view,negative,Twitter
HP downgraded at Argus as drilling industry weakness seen persisting,negative,Twitter
Hanesbrands stock price target cut to 13 vs 16 at BofA Merrill Lynch,negative,Twitter
Helmerich Payne started at sell with 34 stock price target at Deutsche Bank,negative,Twitter
Hexo stock price target cut to C5 from C6 at MKM Partners,negative,Twitter
Home Depot stock price target cut to 237 from 240 at Instinet,negative,Twitter
Intelsat downgraded to underweight from neutral at JP Morgan,negative,Twitter
Intelsat lower after Morgan Stanley target cut,negative,Twitter
Jefferies warns on L Brands,negative,Twitter
Kohls stock price target cut to 48 from 52 at Deutsche Bank,negative,Twitter
Kohls stock price target cut to 50 from 53 at Wedbush,negative,Twitter
L Brands stock price target cut to 16 from 20 at Wedbush,negative,Twitter
Lovesac stock price target cut to 28 vs 33 at Canaccord,negative,Twitter
Lyft stock price target cut to 58 from 70 at Deutsche Bank,negative,Twitter
Macerich downgraded to underweight from sector weight at KeyBanc Capital,negative,Twitter
Marinus Pharma stock price target cut to 6 from 7 at Leerink,negative,Twitter
Methanex downgraded at TD Securities on valuation,negative,Twitter
Metro Inc Just Missed Earnings And Its EPS Looked Sad But Analysts Have Updated Their Models,negative,Twitter
MidAmerica Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,negative,Twitter
Mitek Systems stock price target cut to 11 from 14 at Benchmark,negative,Twitter
Napco Security stock price target cut to 30 from 35 at Imperial Capital,negative,Twitter
Needhams Martin Defends Her Prediction That Netflix Subscriptions Will Fall,negative,Twitter
Netflix downgraded to underperform at Needham,negative,Twitter
Netflix stock falls after Wells Fargo turns bearish,negative,Twitter
New Netflix bear steps out,negative,Twitter
New York Opioid Case A Significant Risk For Pharma Stocks Says Bearish BofA,negative,Twitter
Norwegian Cruise Line downgraded to strong sell from hold at CFRA,negative,Twitter
Novo Nordisk downgraded by UBS on concerns over drug launch cost,negative,Twitter
Oppenheimer cuts estimates on Yum China,negative,Twitter
Orbcomm price target lowered to 9 at Canaccord,negative,Twitter
